system,verdict,reason,n_points,pH_span,n_distinct_I_levels,I_levels_list,joint_coverage_fraction,n_refs_total,n_refs_with_sufficient_I_variation,pct_points_in_I_varying_refs,site_density_status,n_references,temp_range_C,pH_min,pH_max,I_min,I_max,n_rows_total,missing_response,missing_pH,missing_I,invalid_response_values,n_sets,median_replicates_per_set,site_density_mean,site_density_cv,n_distinct_formulas,initial_bandwidth_pH_scaled,initial_bandwidth_I_scaled,n_points_in_I_varying_refs
alumina-Cl(+7)+Na(+1)-Cs(+1),PASS,meets all thresholds,131,5.2347,8,"0.25, 1.25, 2.5, 6.25, 12.5, 25, 62.5, 125",0.6666666666666666,1,1,100.0,"fixed, as expected",1,,4.7806,10.0153,0.25,125.0,131,0,0,0,0,10,13.5,2.31,0.0,1,0.0131,0.0131,131
goethite-Cl(-1)+Na(+1)+P(+5)-Se(+4),PASS,meets all thresholds,104,8.8988,6,"0.105, 0.11, 0.116, 0.132, 0.164, 0.261",0.6111111111111112,1,1,100.0,"fixed, as expected",1,0.0,3.1243,12.0231,0.105,0.261,104,0,0,0,0,6,16.0,2.3099999999999996,1.9317739199229515e-16,1,0.0335,0.0335,104
illite-Cl(+7)+Na(+1)-Zn(+2),PASS,meets all thresholds,372,8.5944,5,"0.028, 0.25, 2.5, 12.5, 25",0.3888888888888889,1,1,100.0,"fixed, as expected",1,,2.63,11.2244,0.028,25.0,372,0,0,0,0,23,16.0,2.3099999999999996,1.9250532903334454e-16,0,0.0,0.0,372
bentonite-Cl(+7)+Na(+1)-Co(+2),MARGINAL,84 points (< preferred 100); 4 distinct I levels (< preferred),84,6.8521600000000005,4,"0.25, 2.5, 5, 12.5",0.6666666666666666,1,1,100.0,"fixed, as expected",1,,2.98731,9.83947,0.25,12.5,84,0,0,0,0,8,10.5,2.31,0.0,0,0.0227,0.0227,84
ferrihydrite-N(+5)+Na(+1)+P(+5)-U(+6),MARGINAL,3 distinct I levels (< preferred); 1 invalid (negative) response values,105,7.3732,3,"0.261, 1.301, 6.501",0.5,1,1,100.0,"fixed, as expected",1,,2.617,9.9902,0.261,6.501,105,0,0,0,1,8,13.5,2.3099999999999996,1.931684616179755e-16,1,0.0019,0.0019,105
illite-Cl(-1)+Na(+1)-Eu(+3),MARGINAL,81 points (< preferred 100); 3 distinct I levels (< preferred),81,8.610299999999999,3,"0.09, 0.92, 3.9",0.5,1,1,100.0,"fixed, as expected",1,,3.0699,11.6802,0.09,3.9,81,0,0,0,0,3,27.0,2.3099999999999996,1.9344421973355377e-16,0,0.0175,0.0175,81
montmorillonite-Cl(-1)+Na(+1)-U(+6),MARGINAL,66 points (< preferred 100); 3 distinct I levels (< preferred),66,5.0195799999999995,3,"0.001, 0.01, 0.025",0.5,1,1,100.0,"fixed, as expected",1,,3.99128,9.01086,0.001,0.025,66,0,0,0,0,6,11.0,2.31,0.0,0,0.0019,0.0019,66
ferrihydrite-N(+5)+Na(+1)+U(+6)-P(+5),MARGINAL,56 points (< preferred 100); 4 distinct I levels (< preferred),56,6.922699999999999,4,"0.278, 1.302, 1.318, 6.518",0.5,1,1,100.0,"fixed, as expected",1,,3.0243,9.947,0.278,6.518,56,0,0,0,0,4,13.5,2.31,0.0,1,0.0289,0.0289,56
magnetite-Cl(+7)+Na(+1)-U(+6),MARGINAL,94 points (< preferred 100); 4 distinct I levels (< preferred); data pooled from 2 sources - check protocol consistency,94,6.889800000000001,4,"0.025, 0.25, 2.5, 5",0.4722222222222222,2,2,100.0,"fixed, as expected",2,,2.6053,9.4951,0.025,5.0,94,0,0,0,0,8,14.0,2.31,0.0,1,0.0153,0.0153,94
montmorillonite-Cl(-1)+Na(+1)-Eu(+3),MARGINAL,85 points (< preferred 100); 3 distinct I levels (< preferred),85,8.8883,3,"0.09, 0.92, 3.9",0.4722222222222222,1,1,100.0,"fixed, as expected",1,,3.0594,11.9477,0.09,3.9,85,0,0,0,0,3,28.0,2.31,0.0,0,0.0179,0.0179,85
bentonite-Cl(+7)+Na(+1)-Sr(+2),MARGINAL,64 points (< preferred 100); 4 distinct I levels (< preferred),64,6.41671,4,"0.05, 0.25, 1.25, 2.5",0.4722222222222222,1,1,100.0,"fixed, as expected",1,,3.5089,9.92561,0.05,2.5,64,0,0,0,0,7,9.0,2.31,0.0,0,0.0,0.0,64
hematite-Cl(+7)+Na(+1)-Citric acid,MARGINAL,66 points (< preferred 100); 3 distinct I levels (< preferred),66,8.971919999999999,3,"0.05, 2.5, 12.5",0.4166666666666667,1,1,100.0,"fixed, as expected",1,,1.44918,10.4211,0.05,12.5,66,0,0,0,0,8,10.0,2.31,0.0,1,0.002,0.002,66
illite-Cl(+7)+Na(+1)-Pu,MARGINAL,55 points (< preferred 100); 3 distinct I levels (< preferred),55,7.19351,3,"2.5, 25, 80",0.3611111111111111,1,1,100.0,"fixed, as expected",1,,3.04159,10.2351,2.5,80.0,55,0,0,0,0,3,19.0,2.3100000000000005,1.9401830497163308e-16,0,0.0045,0.0045,55
