Mineral,Mineral_formula,Sorbate,Reference,Set,SetID,electrolyte_sig,pH,ionic_strength,response,temp,mineralsites
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,1,C(+4)+Cl(-1)+Na(+1),3.4049,0.09,1.5288e-07,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,2,C(+4)+Cl(-1)+Na(+1),3.7044,0.09,6.6675e-07,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,3,C(+4)+Cl(-1)+Na(+1),4.1204,0.09,2.41214e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,4,C(+4)+Cl(-1)+Na(+1),4.3978,0.09,3.62246e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,5,C(+4)+Cl(-1)+Na(+1),4.6363,0.09,4.04288e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,6,C(+4)+Cl(-1)+Na(+1),4.836,0.09,4.14053e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,7,C(+4)+Cl(-1)+Na(+1),5.0301,0.09,4.19152e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,8,C(+4)+Cl(-1)+Na(+1),5.7401,0.09,4.19152e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,9,C(+4)+Cl(-1)+Na(+1),6.2781,0.09,4.17875e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,10,C(+4)+Cl(-1)+Na(+1),6.7274,0.09,3.99617e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,11,C(+4)+Cl(-1)+Na(+1),7.21,0.09,3.35068e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,12,C(+4)+Cl(-1)+Na(+1),7.6537,0.09,2.24225e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,13,C(+4)+Cl(-1)+Na(+1),8.0198,0.09,1.30372e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,14,C(+4)+Cl(-1)+Na(+1),8.4691,0.09,6.62508e-07,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,15,C(+4)+Cl(-1)+Na(+1),9.0016,0.09,3.73716e-07,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f7,16,C(+4)+Cl(-1)+Na(+1),9.5674,0.09,3.73716e-07,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f8,1,C(+4)+Cl(-1)+Na(+1),3.02566,0.01008,1.93032e-07,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f8,2,C(+4)+Cl(-1)+Na(+1),3.54759,0.01008,4.1307e-07,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f8,3,C(+4)+Cl(-1)+Na(+1),4.04398,0.01008,1.10019e-06,,2.31
ferrihydrite,Fe(OH)3,U(+6),wkm03,wkm03_f8,4,C(+4)+Cl(-1)+Na(+1),4.31579,0.01008,2.16565e-06,,2.31
