Mineral,Mineral_formula,Sorbate,Reference,Set,SetID,electrolyte_sig,pH,ionic_strength,response,temp,mineralsites
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6e,1,C(+4)+Cl(-1)+K(+1),7.8,0.103729968,1.03291e-06,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6e,2,C(+4)+Cl(-1)+K(+1),7.8,0.107838816,1.01555e-06,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6e,3,C(+4)+Cl(-1)+K(+1),7.8,0.13743376000000002,9.64826e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6e,4,C(+4)+Cl(-1)+K(+1),7.8,0.15845344,9.64171e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6e,5,C(+4)+Cl(-1)+K(+1),7.8,0.1811752,9.64201e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6e,6,C(+4)+Cl(-1)+K(+1),7.8,0.2932912,9.04352e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6e,7,C(+4)+Cl(-1)+K(+1),7.8,0.4874752,8.19401e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6b,1,Citrate(-3)+Cl(-1)+K(+1),7.0,0.10006123780000001,1.0298e-06,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6b,2,Citrate(-3)+Cl(-1)+K(+1),7.0,0.1004566555,9.84687e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6b,3,Citrate(-3)+Cl(-1)+K(+1),7.0,0.10216338850000001,8.99119e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6b,4,Citrate(-3)+Cl(-1)+K(+1),7.0,0.104764375,8.58774e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6b,5,Citrate(-3)+Cl(-1)+K(+1),7.0,0.11082448,7.9265e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6b,6,Citrate(-3)+Cl(-1)+K(+1),7.0,0.122390425,7.27911e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6b,7,Citrate(-3)+Cl(-1)+K(+1),7.0,0.1477909,6.8408e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6b,8,Citrate(-3)+Cl(-1)+K(+1),7.0,0.204418,6.2283e-07,,2.31
goethite,alpha-FeOOH,Se(+4),bc87,bc87_f6b,9,Citrate(-3)+Cl(-1)+K(+1),7.0,0.31600360000000005,5.72027e-07,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3ba,1,Cl(+7)+Na(+1),2.6799,0.025,9.93759e-10,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3ba,2,Cl(+7)+Na(+1),3.1936,0.025,9.94805e-10,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3ba,3,Cl(+7)+Na(+1),4.1846,0.025,9.90965e-10,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3ba,4,Cl(+7)+Na(+1),4.6249,0.025,9.91862e-10,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3ba,5,Cl(+7)+Na(+1),5.4447,0.025,9.84321e-10,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3ba,6,Cl(+7)+Na(+1),6.9498,0.025,9.44779e-10,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3ba,7,Cl(+7)+Na(+1),8.9683,0.025,9.29026e-10,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3ba,8,Cl(+7)+Na(+1),9.9723,0.025,4.87126e-10,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3ba,9,Cl(+7)+Na(+1),10.9031,0.025,5.41446e-11,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3bb,1,Cl(+7)+Na(+1),2.5944,0.25,9.90498e-10,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3bb,2,Cl(+7)+Na(+1),3.096,0.25,9.8944e-10,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3bb,3,Cl(+7)+Na(+1),4.0622,0.25,9.93234e-10,,2.31
goethite,alpha-FeOOH,Se(+4),masgg09,masgg09_f3bb,4,Cl(+7)+Na(+1),4.8573,0.25,9.93402e-10,,2.31
