reference,n_points,n_distinct_I_levels,I_min,I_max,pH_span,sufficient_for_local_I_derivative
bc87,280,38,0.1,0.933,6.961500000000001,True
hpq71,162,7,0.1,0.261,8.969,True
wat01c,88,1,0.1,0.1,6.5054,False
ss00,80,3,0.01,1.0,9.226600000000001,True
masgg09,65,3,0.025,2.5,8.394300000000001,True
lyt14,35,3,0.01,1.0,5.47,True
dlfjr03,34,1,0.13,0.13,8.733500000000001,False
hrbhl87,28,3,0.088,13.0,5.1690000000000005,True
hpl88,24,3,0.065,13.0,2.9163999999999994,True
hpq72,18,1,0.1,0.1,6.242,False
bchssy98,17,1,0.01,0.01,6.3231,False
rgmmd08,13,1,0.1,0.1,8.8523,False
nfhpl17,10,1,0.01,0.01,6.066999999999999,False
zs90a,10,1,0.02,0.02,3.7664,False
