Reference,Set,SetID,Mineral,Mineral_formula,Sorbate,Temp,pH,Electrolyte1,Electrolyte1_val,Electrolyte2,Electrolyte2_val,Mineralsites,Sorbed_val
synthetic_study_1,24,0,goethite,FeOOH,U(+6),24.92510502032213,7.5956934985716344,Na(+1),0.0010480536987025567,NO3(-1),0.0010480536987025567,2.3,103.11315326576562
synthetic_study_0,34,1,goethite,FeOOH,U(+6),24.72587468155798,4.6582937101109625,Na(+1),0.2397988489827848,NO3(-1),0.2397988489827848,2.3,18.494240930221256
synthetic_study_3,21,2,goethite,FeOOH,U(+6),25.281353153207235,2.8277881914895575,Na(+1),0.17092072594336744,NO3(-1),0.17092072594336744,2.3,2.638974262231053
synthetic_study_2,106,3,goethite,FeOOH,U(+6),25.214001702477724,2.6322210842282328,Na(+1),0.14715491925745022,NO3(-1),0.14715491925745022,2.3,0.0
synthetic_study_1,122,4,goethite,FeOOH,U(+6),25.18857170725128,9.00616191360218,Na(+1),0.1855536525288675,NO3(-1),0.1855536525288675,2.3,97.35214997881197
synthetic_study_1,127,5,goethite,FeOOH,U(+6),25.066061028315914,9.802044618221775,Na(+1),0.08603435286352991,NO3(-1),0.08603435286352991,2.3,97.49222345414574
synthetic_study_0,96,6,goethite,FeOOH,U(+6),24.38498750672994,7.353086206137439,Na(+1),0.002401156932358472,NO3(-1),0.002401156932358472,2.3,101.58705810058171
synthetic_study_1,68,7,goethite,FeOOH,U(+6),24.643906481416803,8.335972487871988,Na(+1),0.16157430029045358,NO3(-1),0.16157430029045358,2.3,95.10597046425997
synthetic_study_1,42,8,goethite,FeOOH,U(+6),25.085320092149942,6.848999931723383,Na(+1),0.001051417323875903,NO3(-1),0.001051417323875903,2.3,99.35802142901116
synthetic_study_3,138,9,goethite,FeOOH,U(+6),24.20351532573843,9.980579390302147,Na(+1),0.004012190086869644,NO3(-1),0.004012190086869644,2.3,99.83715508701923
synthetic_study_3,47,10,goethite,FeOOH,U(+6),24.976223315596766,9.026828432972257,Na(+1),0.02448492269297641,NO3(-1),0.02448492269297641,2.3,100.43709504330477
synthetic_study_0,107,11,goethite,FeOOH,U(+6),24.692406289764453,2.5219080013611848,Na(+1),0.017726335114955864,NO3(-1),0.017726335114955864,2.3,6.883471179169583
synthetic_study_1,58,12,goethite,FeOOH,U(+6),25.189988110129388,9.359234212700555,Na(+1),0.0024693635652613542,NO3(-1),0.0024693635652613542,2.3,98.01782967086886
synthetic_study_2,11,13,goethite,FeOOH,U(+6),24.941019585868624,2.768684602443715,Na(+1),0.02564248400753361,NO3(-1),0.02564248400753361,2.3,7.792854735571477
synthetic_study_1,16,14,goethite,FeOOH,U(+6),25.317675434295726,8.337243571439553,Na(+1),0.1142712304905707,NO3(-1),0.1142712304905707,2.3,93.20202927389312
synthetic_study_0,141,15,goethite,FeOOH,U(+6),25.10129640082775,3.905244964820472,Na(+1),0.01760472818728819,NO3(-1),0.01760472818728819,2.3,4.51505890148716
synthetic_study_2,141,16,goethite,FeOOH,U(+6),25.03412462560729,9.405431378799094,Na(+1),0.21779519536626674,NO3(-1),0.21779519536626674,2.3,93.4539691618432
