system,Mineral,Mineral_formula,Sorbate,Reference,Set,SetID,electrolyte_sig,pH,ionic_strength,response,temp,mineralsites
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_1,1,C(+4)+Ca(+2)+Cl(-1)+Mg(+2)+Na(+1)+S(+6),7.4,0.6225,7.47808e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_2,1,C(+4)+Ca(+2)+Cl(-1)+Mg(+2)+Na(+1)+S(+6),7.0,0.6705,4.28519e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_3,1,C(+4)+Ca(+2)+Cl(-1)+Mg(+2)+Na(+1)+S(+6),6.1,0.7405,3.78105e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_4,1,C(+4)+Ca(+2)+Cl(-1)+Mg(+2)+Na(+1)+S(+6),7.6,0.3345,7.8982e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_5,1,C(+4)+Ca(+2)+Cl(-1)+Mg(+2)+Na(+1)+S(+6),7.2,0.43849999999999995,5.54554e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_6,1,C(+4)+Ca(+2)+Cl(-1)+Mg(+2)+Na(+1)+S(+6),6.3,0.5549999999999999,5.12543e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_7,1,C(+4)+Ca(+2)+Cl(-1)+Mg(+2)+Na(+1)+S(+6),9.0,0.7715,2.43668e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_10,1,C(+4)+Ca(+2)+Cl(-1)+Mg(+2)+Na(+1)+S(+6),7.4,0.2197,8.31832e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_11,1,C(+4)+Ca(+2)+Cl(-1)+Mg(+2)+Na(+1)+S(+6),6.9,0.27799999999999997,8.31832e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_12,1,C(+4)+Ca(+2)+Cl(-1)+Mg(+2)+Na(+1)+S(+6),5.5,0.242,8.23429e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_8,1,C(+4)+Ca(+2)+Mg(+2)+Na(+1)+S(+6),7.9,0.8045,3.10887e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t6_9,1,C(+4)+Ca(+2)+Mg(+2)+Na(+1)+S(+6),6.6,0.874,2.77277e-06,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,1,C(+4)+Cl(-1)+Na(+1),3.2985,0.01333036,6.0276e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,2,C(+4)+Cl(-1)+Na(+1),3.3901,0.01333036,6.94153e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,3,C(+4)+Cl(-1)+Na(+1),4.1944,0.01333036,9.82945e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,4,C(+4)+Cl(-1)+Na(+1),4.2987,0.01333036,9.85637e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,5,C(+4)+Cl(-1)+Na(+1),4.9978,0.01333036,9.98554e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,6,C(+4)+Cl(-1)+Na(+1),5.0959,0.01333036,9.99006e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,7,C(+4)+Cl(-1)+Na(+1),5.1931,0.01333036,9.98611e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,8,C(+4)+Cl(-1)+Na(+1),5.8898,0.01333036,9.98818e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,9,C(+4)+Cl(-1)+Na(+1),6.1955,0.01333036,9.98555e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,10,C(+4)+Cl(-1)+Na(+1),5.8967,0.01333036,9.99143e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,11,C(+4)+Cl(-1)+Na(+1),7.0302,0.01333036,9.99601e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,12,C(+4)+Cl(-1)+Na(+1),7.9919,0.01333036,9.98236e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,13,C(+4)+Cl(-1)+Na(+1),8.0899,0.01333036,9.98738e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,14,C(+4)+Cl(-1)+Na(+1),9.0932,0.01333036,9.99413e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,15,C(+4)+Cl(-1)+Na(+1),9.2885,0.01333036,9.99413e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,16,C(+4)+Cl(-1)+Na(+1),9.9897,0.01333036,9.97186e-08,,2.31
goethite-*-U(+6),goethite,,U(+6),bchssy98,bchssy98_f3,17,C(+4)+Cl(-1)+Na(+1),10.1914,0.01333036,9.96697e-08,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t4_1,1,C(+4)+Cl(-1)+Na(+1),6.9,0.1008,8.31832e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t4_2,1,C(+4)+Cl(-1)+Na(+1),5.8,0.1008,8.40234e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t4_3,1,C(+4)+Cl(-1)+Na(+1),4.1,0.1008,7.81418e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t4_4,1,C(+4)+Cl(-1)+Na(+1),8.2,0.1525,6.38578e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t4_5,1,C(+4)+Cl(-1)+Na(+1),7.0,0.1525,8.15027e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t4_6,1,C(+4)+Cl(-1)+Na(+1),5.5,0.1525,8.15027e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t4_7,1,C(+4)+Cl(-1)+Na(+1),8.6,0.2499,1.0923e-06,,2.31
goethite-*-U(+6),goethite,alpha-FeOOH,U(+6),da96,da96_t4_8,1,C(+4)+Cl(-1)+Na(+1),7.4,0.2508,4.45324e-06,,2.31
