Mineral,Mineral_formula,Sorbate,Reference,Set,SetID,electrolyte_sig,pH,ionic_strength,response,temp,mineralsites
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2ba,1,C(+4)+Cl(+7)+Na(+1),7.1147,2.508,8.80976e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2ba,2,C(+4)+Cl(+7)+Na(+1),7.9955,2.508,7.58327e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2ba,3,C(+4)+Cl(+7)+Na(+1),8.0624,2.508,7.66928e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2ba,4,C(+4)+Cl(+7)+Na(+1),8.0721,2.508,7.29935e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2ba,5,C(+4)+Cl(+7)+Na(+1),8.9764,2.508,4.85656e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bb,1,C(+4)+Cl(+7)+Na(+1),7.111,2.524,7.69261e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bb,2,C(+4)+Cl(+7)+Na(+1),7.1636,2.524,7.6651e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bb,3,C(+4)+Cl(+7)+Na(+1),8.0637,2.524,2.92859e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bb,4,C(+4)+Cl(+7)+Na(+1),9.0446,2.524,7.34882e-09,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bb,5,C(+4)+Cl(+7)+Na(+1),9.0925,2.524,6.56475e-09,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bc,1,C(+4)+Cl(+7)+Na(+1),7.1403,2.54,5.94745e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bc,2,C(+4)+Cl(+7)+Na(+1),7.1737,2.54,5.94745e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bc,3,C(+4)+Cl(+7)+Na(+1),7.8394,2.54,1.62064e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bc,4,C(+4)+Cl(+7)+Na(+1),8.069,2.54,1.23953e-08,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bc,5,C(+4)+Cl(+7)+Na(+1),8.1076,2.54,7.32554e-09,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bc,6,C(+4)+Cl(+7)+Na(+1),9.1214,2.54,4.98174e-09,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bc,7,C(+4)+Cl(+7)+Na(+1),9.1505,2.54,1.93235e-09,,2.31
montmorillonite,,U(+6),mbdsb12,mbdsb12_f2bc,8,C(+4)+Cl(+7)+Na(+1),9.1126,2.54,1.05605e-09,,2.31
montmorillonite,,U(+6),bb05,bb05_fa5aa,1,Cl(+7)+Na(+1),2.67112,0.25,9.62624e-08,,2.31
montmorillonite,,U(+6),bb05,bb05_fa5aa,2,Cl(+7)+Na(+1),4.05465,0.25,1.23337e-07,,2.31
montmorillonite,,U(+6),bb05,bb05_fa5aa,3,Cl(+7)+Na(+1),4.05374,0.25,1.27321e-07,,2.31
